date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:18	125/125	---MC-	200	added ('OK')	text/plain	date:Mon,%2016%20Oct%202023%2003:35:17%20GMT	https://economistasincero.com.br/robots.txt		(from )
22:35:18	76461/76461	---MCZ	200	added ('OK')	text/html	date:Mon,%2016%20Oct%202023%2003:35:17%20GMT	https://economistasincero.com.br/evolucao/	D:/Web%20Site/Comunidade/Comunidade/economistasincero.com.br/evolucao/index.html	(from )
22:35:18	104484/104484	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Aug%202023%2002:51:18%20GMT	https://economistasincero.com.br/wp-includes/css/dist/block-library/style.min.css?ver=6.3.2	D:/Web%20Site/Comunidade/Comunidade/economistasincero.com.br/wp-includes/css/dist/block-library/style.mine35d.css	(from https://economistasincero.com.br/evolucao/)
22:35:19	6630/6630	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Apr%202021%2016:48:27%20GMT	https://economistasincero.com.br/wp-content/themes/hello-elementor/style.min.css?ver=2.3.1	D:/Web%20Site/Comunidade/Comunidade/economistasincero.com.br/wp-content/themes/hello-elementor/style.min254d.css	(from https://economistasincero.com.br/evolucao/)
22:35:19	5403/5403	---M--	200	added ('OK')	text/css	date:Wed,%2028%20Apr%202021%2016:48:27%20GMT	https://economistasincero.com.br/wp-content/themes/hello-elementor/theme.min.css?ver=2.3.1	D:/Web%20Site/Comunidade/Comunidade/economistasincero.com.br/wp-content/themes/hello-elementor/theme.min254d.css	(from https://economistasincero.com.br/evolucao/)
22:35:19	19128/19128	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2019:51:18%20GMT	https://economistasincero.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.15.0	D:/Web%20Site/Comunidade/Comunidade/economistasincero.com.br/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min7816.css	(from https://economistasincero.com.br/evolucao/)
22:35:19	1184/1184	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Jan%202023%2023:01:44%20GMT	https://economistasincero.com.br/wp-content/uploads/elementor/css/post-7.css?ver=1674428504	D:/Web%20Site/Comunidade/Comunidade/economistasincero.com.br/wp-content/uploads/elementor/css/post-71326.css	(from https://economistasincero.com.br/evolucao/)
22:35:19	163326/163326	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2019:51:18%20GMT	https://economistasincero.com.br/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.6.3	D:/Web%20Site/Comunidade/Comunidade/economistasincero.com.br/wp-content/plugins/elementor/assets/css/frontend.mina767.css	(from https://economistasincero.com.br/evolucao/)
22:35:20	254177/254177	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Oct%202021%2014:11:15%20GMT	https://economistasincero.com.br/wp-content/plugins/elementor-pro/assets/css/frontend.min.css?ver=3.4.2	D:/Web%20Site/Comunidade/Comunidade/economistasincero.com.br/wp-content/plugins/elementor-pro/assets/css/frontend.minccfb.css	(from https://economistasincero.com.br/evolucao/)
22:35:20	38571/38571	---M--	200	added ('OK')	text/css	date:Sun,%2022%20Jan%202023%2023:01:44%20GMT	https://economistasincero.com.br/wp-content/uploads/elementor/css/global.css?ver=1674428504	D:/Web%20Site/Comunidade/Comunidade/economistasincero.com.br/wp-content/uploads/elementor/css/global1326.css	(from https://economistasincero.com.br/evolucao/)
22:35:20	719/719	---M--	200	added ('OK')	text/css	date:Wed,%2010%20May%202023%2023:39:54%20GMT	https://economistasincero.com.br/wp-content/uploads/elementor/css/post-946.css?ver=1683761994	D:/Web%20Site/Comunidade/Comunidade/economistasincero.com.br/wp-content/uploads/elementor/css/post-9461745.css	(from https://economistasincero.com.br/evolucao/)
22:35:20	87482/87482	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2002:51:18%20GMT	https://economistasincero.com.br/wp-includes/js/jquery/jquery.min.js?ver=3.7.0	D:/Web%20Site/Comunidade/Comunidade/economistasincero.com.br/wp-includes/js/jquery/jquery.min3088.js	(from https://economistasincero.com.br/evolucao/)
22:35:20	13577/13577	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2002:51:18%20GMT	https://economistasincero.com.br/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	D:/Web%20Site/Comunidade/Comunidade/economistasincero.com.br/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://economistasincero.com.br/evolucao/)
22:35:21	2783/2783	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jan%202022%2020:09:30%20GMT	https://economistasincero.com.br/wp-content/uploads/2022/01/cropped-Logo_-_neuro-min-32x32.png	D:/Web%20Site/Comunidade/Comunidade/economistasincero.com.br/wp-content/uploads/2022/01/cropped-Logo_-_neuro-min-32x32.png	(from https://economistasincero.com.br/evolucao/)
22:35:21	63690/63690	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jan%202022%2020:09:30%20GMT	https://economistasincero.com.br/wp-content/uploads/2022/01/cropped-Logo_-_neuro-min-192x192.png	D:/Web%20Site/Comunidade/Comunidade/economistasincero.com.br/wp-content/uploads/2022/01/cropped-Logo_-_neuro-min-192x192.png	(from https://economistasincero.com.br/evolucao/)
22:35:21	57364/57364	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Jan%202022%2020:09:30%20GMT	https://economistasincero.com.br/wp-content/uploads/2022/01/cropped-Logo_-_neuro-min-180x180.png	D:/Web%20Site/Comunidade/Comunidade/economistasincero.com.br/wp-content/uploads/2022/01/cropped-Logo_-_neuro-min-180x180.png	(from https://economistasincero.com.br/evolucao/)
22:35:21	203000/203000	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2016%20Oct%202023%2003:35:21%20GMT	https://connect.facebook.net/en_US/fbevents.js	D:/Web%20Site/Comunidade/Comunidade/connect.facebook.net/en_US/fbevents.js	(from https://economistasincero.com.br/evolucao/)
22:35:22	171949/171949	---M--	200	added ('OK')	image/png	date:Tue,%2031%20Jan%202023%2011:38:19%20GMT	https://economistasincero.com.br/wp-content/uploads/2022/10/logotipo-evolucal.png	D:/Web%20Site/Comunidade/Comunidade/economistasincero.com.br/wp-content/uploads/2022/10/logotipo-evolucal.png	(from https://economistasincero.com.br/evolucao/)
